time,uuid,epochs,rows,columns,behaviours,min_angle,mag_goals,mag_modifier,sim_type,sim_time,mutation_strength,popsize,loss
2024-02-20T19:18:25.319,148985740576002320931935774874494791849,0,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.475362967878941
2024-02-20T19:18:28.467,148985740576002320931935774874494791849,5,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.473482637163587
2024-02-20T19:18:31.623,148985740576002320931935774874494791849,10,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.471559572588575
2024-02-20T19:18:34.764,148985740576002320931935774874494791849,15,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.469514455026858
2024-02-20T19:18:37.94,148985740576002320931935774874494791849,20,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.467958659491431
2024-02-20T19:18:41.113,148985740576002320931935774874494791849,25,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.4655254627474
2024-02-20T19:18:44.248,148985740576002320931935774874494791849,30,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.4643721268609715
2024-02-20T19:18:47.379,148985740576002320931935774874494791849,35,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.462672346502872
2024-02-20T19:18:50.506,148985740576002320931935774874494791849,40,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.461210147275996
2024-02-20T19:18:53.638,148985740576002320931935774874494791849,45,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.459897779652995
2024-02-20T19:18:56.765,148985740576002320931935774874494791849,50,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.458509694745263
2024-02-20T19:18:59.905,148985740576002320931935774874494791849,55,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.456072603187674
2024-02-20T19:19:03.063,148985740576002320931935774874494791849,60,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.454572361485705
2024-02-20T19:19:06.189,148985740576002320931935774874494791849,65,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.0002,10,4.452615366203136
2024-02-20T19:19:09.321,148985740576002320931935774874494791849,70,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.451841810819498
2024-02-20T19:19:12.446,148985740576002320931935774874494791849,75,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.450713208018865
2024-02-20T19:19:15.572,148985740576002320931935774874494791849,80,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.449497013274854
2024-02-20T19:19:18.684,148985740576002320931935774874494791849,85,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.448474041312774
2024-02-20T19:19:21.827,148985740576002320931935774874494791849,90,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.447413678301176
2024-02-20T19:19:24.977,148985740576002320931935774874494791849,95,5,4,1,0.0,0.1,0.1,Diff,1000.0,0.00014,10,4.4459993627349705
2024-02-20T19:19:28.107,148985740576002320931935774874494791849,100,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.445407265163248
2024-02-20T19:19:31.245,148985740576002320931935774874494791849,105,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.444837699413143
2024-02-20T19:19:34.369,148985740576002320931935774874494791849,110,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.444266242890779
2024-02-20T19:19:37.517,148985740576002320931935774874494791849,115,5,4,1,0.0,0.1,0.1,Diff,1000.0,6.859999999999999e-5,10,4.4437345255833245
